x;funkcja biblioteczna; blad bezwzgledny od przodu;blad bezwzgledny od tylu;blad bezwzgledny ciagu p.;blad bezwzgledny ciagu t.
0.569600;0.4508208098288931;0.0000000000000043;0.0000000000000043;0.0000000000000043;0.0000000000000027
0.569800;0.4509482227105077;0.0000000000000043;0.0000000000000044;0.0000000000000043;0.0000000000000024
0.570000;0.4510756193601481;0.0000000000000042;0.0000000000000044;0.0000000000000042;0.0000000000000027
0.570200;0.4512029997819496;0.0000000000000044;0.0000000000000046;0.0000000000000044;0.0000000000000028
0.570400;0.4513303639800457;0.0000000000000044;0.0000000000000046;0.0000000000000044;0.0000000000000022
0.570600;0.4514577119585687;0.0000000000000049;0.0000000000000047;0.0000000000000049;0.0000000000000026
0.570800;0.4515850437216489;0.0000000000000047;0.0000000000000048;0.0000000000000047;0.0000000000000026
0.571000;0.4517123592734155;0.0000000000000047;0.0000000000000049;0.0000000000000047;0.0000000000000025
0.571200;0.4518396586179958;0.0000000000000050;0.0000000000000049;0.0000000000000050;0.0000000000000029
0.571400;0.4519669417595156;0.0000000000000052;0.0000000000000051;0.0000000000000052;0.0000000000000027
0.571600;0.4520942087020990;0.0000000000000053;0.0000000000000051;0.0000000000000053;0.0000000000000032
0.571800;0.4522214594498689;0.0000000000000052;0.0000000000000052;0.0000000000000052;0.0000000000000027
0.572000;0.4523486940069462;0.0000000000000053;0.0000000000000053;0.0000000000000053;0.0000000000000029
0.572200;0.4524759123774504;0.0000000000000056;0.0000000000000054;0.0000000000000056;0.0000000000000028
0.572400;0.4526031145654996;0.0000000000000055;0.0000000000000055;0.0000000000000054;0.0000000000000038
0.572600;0.4527303005752100;0.0000000000000057;0.0000000000000056;0.0000000000000057;0.0000000000000038
0.572800;0.4528574704106964;0.0000000000000057;0.0000000000000057;0.0000000000000057;0.0000000000000032
0.573000;0.4529846240760722;0.0000000000000058;0.0000000000000058;0.0000000000000058;0.0000000000000032
0.573200;0.4531117615754488;0.0000000000000058;0.0000000000000059;0.0000000000000058;0.0000000000000032
0.573400;0.4532388829129364;0.0000000000000059;0.0000000000000060;0.0000000000000059;0.0000000000000031
0.573600;0.4533659880926436;0.0000000000000061;0.0000000000000061;0.0000000000000061;0.0000000000000034
0.573800;0.4534930771186773;0.0000000000000061;0.0000000000000062;0.0000000000000061;0.0000000000000037
0.574000;0.4536201499951428;0.0000000000000064;0.0000000000000064;0.0000000000000064;0.0000000000000037
0.574200;0.4537472067261440;0.0000000000000065;0.0000000000000064;0.0000000000000065;0.0000000000000037
0.574400;0.4538742473157832;0.0000000000000066;0.0000000000000066;0.0000000000000066;0.0000000000000041
0.574600;0.4540012717681611;0.0000000000000067;0.0000000000000067;0.0000000000000067;0.0000000000000043
0.574800;0.4541282800873767;0.0000000000000069;0.0000000000000068;0.0000000000000069;0.0000000000000037
0.575000;0.4542552722775277;0.0000000000000070;0.0000000000000069;0.0000000000000070;0.0000000000000041
0.575200;0.4543822483427100;0.0000000000000070;0.0000000000000070;0.0000000000000070;0.0000000000000039
0.575400;0.4545092082870182;0.0000000000000071;0.0000000000000072;0.0000000000000072;0.0000000000000037
0.575600;0.4546361521145451;0.0000000000000073;0.0000000000000073;0.0000000000000073;0.0000000000000040
0.575800;0.4547630798293820;0.0000000000000073;0.0000000000000074;0.0000000000000073;0.0000000000000041
0.576000;0.4548899914356186;0.0000000000000074;0.0000000000000075;0.0000000000000074;0.0000000000000043
0.576200;0.4550168869373434;0.0000000000000076;0.0000000000000077;0.0000000000000076;0.0000000000000041
0.576400;0.4551437663386428;0.0000000000000077;0.0000000000000079;0.0000000000000077;0.0000000000000044
0.576600;0.4552706296436021;0.0000000000000078;0.0000000000000080;0.0000000000000078;0.0000000000000044
0.576800;0.4553974768563047;0.0000000000000080;0.0000000000000082;0.0000000000000080;0.0000000000000043
0.577000;0.4555243079808326;0.0000000000000083;0.0000000000000083;0.0000000000000083;0.0000000000000048
0.577200;0.4556511230212663;0.0000000000000082;0.0000000000000084;0.0000000000000082;0.0000000000000047
0.577400;0.4557779219816847;0.0000000000000085;0.0000000000000085;0.0000000000000085;0.0000000000000051
0.577600;0.4559047048661652;0.0000000000000087;0.0000000000000088;0.0000000000000087;0.0000000000000047
0.577800;0.4560314716787834;0.0000000000000089;0.0000000000000089;0.0000000000000089;0.0000000000000051
0.578000;0.4561582224236138;0.0000000000000093;0.0000000000000090;0.0000000000000092;0.0000000000000049
0.578200;0.4562849571047288;0.0000000000000091;0.0000000000000092;0.0000000000000091;0.0000000000000052
0.578400;0.4564116757261998;0.0000000000000095;0.0000000000000094;0.0000000000000095;0.0000000000000056
0.578600;0.4565383782920962;0.0000000000000095;0.0000000000000095;0.0000000000000095;0.0000000000000057
0.578800;0.4566650648064862;0.0000000000000095;0.0000000000000097;0.0000000000000095;0.0000000000000056
0.579000;0.4567917352734363;0.0000000000000100;0.0000000000000099;0.0000000000000100;0.0000000000000055
0.579200;0.4569183896970113;0.0000000000000100;0.0000000000000100;0.0000000000000100;0.0000000000000054
0.579400;0.4570450280812747;0.0000000000000102;0.0000000000000102;0.0000000000000102;0.0000000000000055
0.579600;0.4571716504302885;0.0000000000000105;0.0000000000000104;0.0000000000000105;0.0000000000000059
0.579800;0.4572982567481129;0.0000000000000104;0.0000000000000106;0.0000000000000104;0.0000000000000064
0.580000;0.4574248470388066;0.0000000000000105;0.0000000000000107;0.0000000000000105;0.0000000000000060
0.580200;0.4575514213064270;0.0000000000000109;0.0000000000000109;0.0000000000000109;0.0000000000000062
0.580400;0.4576779795550298;0.0000000000000112;0.0000000000000112;0.0000000000000112;0.0000000000000062
